1,21,,,DVD,,,
2,23,,,DVD,,,
3,36,Tödliche Rivalen,106,DVD (TV-Movie),,,
4,300,,,DVD,,,
5,… und dann kam Polly,,,DVD,,,
6,…denn zum Küssen sind sie da,,,DVD,,,
7,11:14 elevenfourteen,,82,DVD (TV-Movie),,,
8,12 Monkeys,,125,DVD (TV-Movie),,,
9,12 Stunden Angst,,,DVD (Silverdisc),,,
10,16 Blocks,,,DVD,,,
11,3 Musketiere,,,DVD (Silverdisc),,,
12,8mm,,,DVD,,,
13,96 Hours,,,BluRay,,,
14,Ab durch die Hecke,,,DVD (Silverdisc),,,
15,Aeon Flux,,,DVD,,,
16,Agents Secrets,Im Fadenkreuz des Todes,105,DVD (TV-Movie),,,
17,Airforce One,,,DVD (Silverdisc),,,
18,Alarmstufe: Rot,,,DVD,,,
19,Alarmstufe: Rot 2,,,DVD,,,
20,All Inclusive,,,BluRay,,,
21,Alles erlaubt,,,BluRay,,,
22,Alpha Dog,,112,DVD (TV-Movie),,,
23,American Gangster,,,DVD,,,
24,America's Sweethearts,,98,DVD (TV-Movie),,,
25,Assassins,Die Killer,,DVD,,,
26,Attentat auf Richard Nixon,,,DVD,,,
27,Auf der Jagd,,,DVD,,,
28,Ausnahmezustand,,,DVD (Silverdisc),,,
29,Avatar,,,BluRay,,,
30,Babel,,138,DVD (TV-Movie),,,
31,Babylon A.D.,,,BluRay,,,
32,Backwoods,Die Jagd beginnt!,93,DVD (TV-Movie),,,
33,Bad Boys II,,,DVD,,,
34,Bandidas,,,DVD,,,
35,Basic,Hinter jeder Lüge eine Wahrheit,,DVD,,,
36,Beautiful Girls,,109,DVD (TV-Movie),,,
37,Beim ersten mal,,,DVD,,,
38,Bernard,im ewigen Eis und andere Abenteuer,,DVD,,,
39,Bernard,am Strand und andere Abenteuer,,DVD,,,
40,Besser geht's nicht,,,DVD,,,
41,Beverly Hills 90210,Season 1,,DVD (Silverdisc),,,
42,Beverly Hills 90210,Season 2,,DVD,,,
43,Big Daddy,,,DVD,,,
44,Bin ich schön ?,,112,DVD (TV-Movie),,,
45,Black Rain,,120,DVD (TV-Movie),,,
46,Blade,gekürzte Fassung,106,DVD (TV-Movie),,,
47,Blade II,,,DVD,,,
48,Blade Trinity,,,DVD,,,
49,Blood Diamond,,,DVD (Silverdisc),,,
50,Blood Work,,,DVD,,,
51,Bolt,,,DVD,,,
52,Bride Wars,Beste Feindinnen,,DVD,,,
